parliament,member,birthPlace,coordinates,start,end,party
37,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1935,1945,Conservative Party
37,Harold Macmillan,Chelsea,(-0.1684 51.4875),1935,1945,Conservative Party
37,Anthony Eden,Durham,(-1.566666666 54.783333333),1935,1945,Conservative Party
38,"Quintin Hogg, Baron Hailsham of St Marylebone",London,(-0.1275 51.507222222),1945,1950,Conservative Party
37,Rab Butler,Attock Khurd,(72.234166666 33.888888888),1935,1945,Conservative Party
37,Randolph Churchill,London,(-0.1275 51.507222222),1940,1945,Conservative Party
37,"Nancy Astor, Viscountess Astor",Danville,(-79.404404 36.587238),1935,1945,Conservative Party
37,Duncan Sandys,London,(-0.1275 51.507222222),1935,1945,Conservative Party
37,Tom Johnston,Kirkintilloch,(-4.154722222 55.935833333),1935,1945,Labour Party
37,Ellen Wilkinson,Ardwick,(-2.216111111 53.472222222),1935,1945,Labour Party
38,"Edward Shackleton, Baron Shackleton",Wandsworth,(-0.192 51.455),1946,1950,Labour Party
38,"Elwyn Jones, Baron Elwyn-Jones",Llanelli,(-4.15 51.683333333),1945,1950,Labour Party
38,Harold Wilson,Huddersfield,(-1.779722222 53.645),1945,1950,Labour Party
37,Clement Attlee,Putney,(-0.2211 51.4649),1935,1945,Labour Party
38,Barnett Stross,Pabianice,(19.35 51.664166666),1945,1950,Labour Party
37,"Philip Noel-Baker, Baron Noel-Baker",Hendon,(-0.2252 51.5837),1936,1945,Labour Party
37,"John Jacob Astor, 1st Baron Astor of Hever",New York City,(-74.006111111 40.712777777),1935,1945,Conservative Party
38,"Harry Crookshank, 1st Viscount Crookshank",Cairo,(31.235833333 30.044444444),1945,1950,Conservative Party
37,"Edward Turnour, 6th Earl Winterton",London,(-0.1275 51.507222222),1935,1945,Conservative Party
37,Leo Amery,Gorakhpur,(83.366666666 26.761111111),1935,1945,Conservative Party
38,"David Renton, Baron Renton",Dartford,(0.217222222 51.444444444),1945,1950,Conservative Party
38,"John Boyd-Carpenter, Baron Boyd-Carpenter",Harrogate,(-1.537777777 53.991944444),1945,1950,Conservative Party
37,Leslie Hore-Belisha,Hampstead,(-0.1744 51.5541),1935,1945,Liberal Party
37,David Lloyd George,Manchester,(-2.233333333 53.466666666),1935,1945,Liberal Party
38,"Herbert Bowden, Baron Aylestone",Cardiff,(-3.179166666 51.481666666),1945,1950,Labour Party
38,Arthur Blenkinsop,Newcastle upon Tyne,(-1.613333333 54.977777777),1945,1950,Labour Party
38,"Wavell Wakefield, 1st Baron Wakefield of Kendal",London,(-0.1275 51.507222222),1945,1950,Conservative Party
37,"Douglas Clifton Brown, 1st Viscount Ruffside",Horsham,(-0.325 51.062),1943,1945,Conservative Party
38,"Harold Lever, Baron Lever of Manchester",Manchester,(-2.233333333 53.466666666),1945,1950,Labour Party
38,"Fred Peart, Baron Peart",Durham,(-1.566666666 54.783333333),1945,1950,Labour Party
37,Ernest Millington,Ilford,(0.085833333 51.5575),1945,1945,Labour Party
38,"Frank Soskice, Baron Stow Hill",Geneva,(6.15 46.2),1945,1950,Labour Party
38,"Willie Ross, Baron Ross of Marnock",Ayr,(-4.627777777 55.463888888),1946,1950,Labour Party
37,Malcolm MacDonald,Lossiemouth,(-3.28333 57.7167),1936,1945,Labour Party
38,Manny Shinwell,London,(-0.1275 51.507222222),1945,1950,Labour Party
38,John Strachey,Guildford,(-0.5746 51.2354),1945,1950,Labour Party
38,Hartley Shawcross,Giessen,(8.666666666 50.583333333),1945,1950,Labour Party
37,"Sir Fitzroy MacLean, 1st Baronet",Cairo,(31.235833333 30.044444444),1941,1945,Conservative Party
37,Ivor Bulmer-Thomas,Cwmbran,(-3.021 51.653),1942,1945,Conservative Party
37,Willie Gallacher,Paisley,(-4.423888888 55.845555555),1935,1945,Communist Party of Great Britain
38,Patrick Gordon Walker,Worthing,(-0.371386111 50.814711111),1945,1950,Labour Party
38,Hugh Gaitskell,London,(-0.1275 51.507222222),1945,1950,Labour Party
38,"Brendan Bracken, 1st Viscount Bracken",Templemore,(-7.08 52.8),1945,1950,Conservative Party
38,"David Eccles, 1st Viscount Eccles",London,(-0.1275 51.507222222),1945,1950,Conservative Party
38,Selwyn Lloyd,Liverpool,(-2.991666666 53.407222222),1945,1950,Conservative Party
38,"Terence Donovan, Baron Donovan",London Borough of Newham,(0.033333333 51.516666666),1945,1950,Labour Party
38,"Daniel Granville West, Baron Granville-West",Newport,(-2.997777777 51.588611111),1946,1950,Labour Party
37,Tom Driberg,Crowborough,(0.16 51.06),1942,1945,Labour Party
37,Jack Lawson,Whitehaven,(-3.5855 54.548),1935,1945,Labour Party
38,James Carmichael,Glasgow,(-4.25 55.861111111),1946,1947,Labour Party
38,"James Hoy, Baron Hoy",Edinburgh,(-3.189166666 55.953333333),1945,1950,Labour Party
37,Jennie Adamson,Kilmarnock,(-4.451816861 55.62539811),1938,1945,Labour Party
