parliament,member,birthPlace,coordinates,start,end,party
58,Nadhim Zahawi,Baghdad,(44.366111111 33.315277777),2019,2024,Conservative Party
55,Nadhim Zahawi,Baghdad,(44.366111111 33.315277777),2010,2015,Conservative Party
56,Nadhim Zahawi,Baghdad,(44.366111111 33.315277777),2015,2017,Conservative Party
57,Nadhim Zahawi,Baghdad,(44.366111111 33.315277777),2017,2019,Conservative Party
49,David Amess,Plaistow,(0.0245 51.5243),1983,1987,Conservative Party
58,David Amess,Plaistow,(0.0245 51.5243),2019,2021,Conservative Party
51,David Amess,Plaistow,(0.0245 51.5243),1992,1997,Conservative Party
50,David Amess,Plaistow,(0.0245 51.5243),1987,1992,Conservative Party
52,David Amess,Plaistow,(0.0245 51.5243),1997,2001,Conservative Party
56,David Amess,Plaistow,(0.0245 51.5243),2015,2017,Conservative Party
54,David Amess,Plaistow,(0.0245 51.5243),2005,2010,Conservative Party
57,David Amess,Plaistow,(0.0245 51.5243),2017,2019,Conservative Party
53,David Amess,Plaistow,(0.0245 51.5243),2001,2005,Conservative Party
55,David Amess,Plaistow,(0.0245 51.5243),2010,2015,Conservative Party
58,Stuart Andrew,Anglesey,(-4.376728 53.293975),2019,2024,Conservative Party
57,Stuart Andrew,Anglesey,(-4.376728 53.293975),2017,2019,Conservative Party
56,Stuart Andrew,Anglesey,(-4.376728 53.293975),2015,2017,Conservative Party
55,Stuart Andrew,Anglesey,(-4.376728 53.293975),2010,2015,Conservative Party
51,James Arbuthnot,Deal,(1.4006 51.2226),1992,1997,Conservative Party
50,James Arbuthnot,Deal,(1.4006 51.2226),1987,1992,Conservative Party
52,James Arbuthnot,Deal,(1.4006 51.2226),1997,2001,Conservative Party
53,James Arbuthnot,Deal,(1.4006 51.2226),2001,2005,Conservative Party
54,James Arbuthnot,Deal,(1.4006 51.2226),2005,2010,Conservative Party
55,James Arbuthnot,Deal,(1.4006 51.2226),2010,2015,Conservative Party
51,George Young,Oxford,(-1.257777777 51.751944444),1992,1997,Conservative Party
50,George Young,Oxford,(-1.257777777 51.751944444),1987,1992,Conservative Party
48,George Young,Oxford,(-1.257777777 51.751944444),1979,1983,Conservative Party
49,George Young,Oxford,(-1.257777777 51.751944444),1983,1987,Conservative Party
47,George Young,Oxford,(-1.257777777 51.751944444),1974,1979,Conservative Party
46,George Young,Oxford,(-1.257777777 51.751944444),1974,1974,Conservative Party
52,George Young,Oxford,(-1.257777777 51.751944444),1997,2001,Conservative Party
55,George Young,Oxford,(-1.257777777 51.751944444),2010,2015,Conservative Party
54,George Young,Oxford,(-1.257777777 51.751944444),2005,2010,Conservative Party
53,George Young,Oxford,(-1.257777777 51.751944444),2001,2005,Conservative Party
50,Tim Yeo,Lewisham,(-0.005369444 51.461455555),1987,1992,Conservative Party
51,Tim Yeo,Lewisham,(-0.005369444 51.461455555),1992,1997,Conservative Party
49,Tim Yeo,Lewisham,(-0.005369444 51.461455555),1983,1987,Conservative Party
52,Tim Yeo,Lewisham,(-0.005369444 51.461455555),1997,2001,Conservative Party
54,Tim Yeo,Lewisham,(-0.005369444 51.461455555),2005,2010,Conservative Party
53,Tim Yeo,Lewisham,(-0.005369444 51.461455555),2001,2005,Conservative Party
55,Tim Yeo,Lewisham,(-0.005369444 51.461455555),2010,2015,Conservative Party
58,Steve Baker,St Austell,(-4.795 50.338),2019,2024,Conservative Party
56,Steve Baker,St Austell,(-4.795 50.338),2015,2017,Conservative Party
55,Steve Baker,St Austell,(-4.795 50.338),2010,2015,Conservative Party
57,Steve Baker,St Austell,(-4.795 50.338),2017,2019,Conservative Party
50,Tony Baldry,Uxbridge,(-0.4778 51.5404),1987,1992,Conservative Party
51,Tony Baldry,Uxbridge,(-0.4778 51.5404),1992,1997,Conservative Party
49,Tony Baldry,Uxbridge,(-0.4778 51.5404),1983,1987,Conservative Party
52,Tony Baldry,Uxbridge,(-0.4778 51.5404),1997,2001,Conservative Party
54,Tony Baldry,Uxbridge,(-0.4778 51.5404),2005,2010,Conservative Party
53,Tony Baldry,Uxbridge,(-0.4778 51.5404),2001,2005,Conservative Party
55,Tony Baldry,Uxbridge,(-0.4778 51.5404),2010,2015,Conservative Party
58,Harriett Baldwin,Watford,(-0.395833333 51.655277777),2019,2024,Conservative Party
56,Harriett Baldwin,Watford,(-0.395833333 51.655277777),2015,2017,Conservative Party
55,Harriett Baldwin,Watford,(-0.395833333 51.655277777),2010,2015,Conservative Party
57,Harriett Baldwin,Watford,(-0.395833333 51.655277777),2017,2019,Conservative Party
58,Jeremy Wright,Taunton,(-3.1 51.019166666),2019,2024,Conservative Party
56,Jeremy Wright,Taunton,(-3.1 51.019166666),2015,2017,Conservative Party
54,Jeremy Wright,Taunton,(-3.1 51.019166666),2005,2010,Conservative Party
55,Jeremy Wright,Taunton,(-3.1 51.019166666),2010,2015,Conservative Party
57,Jeremy Wright,Taunton,(-3.1 51.019166666),2017,2019,Conservative Party
58,Steve Barclay,Lytham St Annes,(-2.997 53.7426),2019,2024,Conservative Party
56,Steve Barclay,Lytham St Annes,(-2.997 53.7426),2015,2017,Conservative Party
55,Steve Barclay,Lytham St Annes,(-2.997 53.7426),2010,2015,Conservative Party
57,Steve Barclay,Lytham St Annes,(-2.997 53.7426),2017,2019,Conservative Party
54,Gregory Barker,Worthing,(-0.371386111 50.814711111),2005,2010,Conservative Party
53,Gregory Barker,Worthing,(-0.371386111 50.814711111),2001,2005,Conservative Party
55,Gregory Barker,Worthing,(-0.371386111 50.814711111),2010,2015,Conservative Party
56,Gavin Barwell,Cuckfield,(-0.1407 51.0096),2015,2017,Conservative Party
55,Gavin Barwell,Cuckfield,(-0.1407 51.0096),2010,2015,Conservative Party
56,Guto Bebb,Wrexham,(-2.993611111 53.046666666),2015,2017,Conservative Party
57,Guto Bebb,Wrexham,(-2.993611111 53.046666666),2017,2019,Conservative Party
57,Guto Bebb,Wrexham,(-2.993611111 53.046666666),2019,2019,Conservative Party
55,Guto Bebb,Wrexham,(-2.993611111 53.046666666),2010,2015,Conservative Party
52,Shaun Woodward,Bristol,(-2.5975 51.453611111),1999,2001,Conservative Party
52,Shaun Woodward,Bristol,(-2.5975 51.453611111),1997,1999,Conservative Party
55,Shaun Woodward,Bristol,(-2.5975 51.453611111),2010,2015,Conservative Party
54,Shaun Woodward,Bristol,(-2.5975 51.453611111),2005,2010,Conservative Party
53,Shaun Woodward,Bristol,(-2.5975 51.453611111),2001,2005,Conservative Party
55,Rob Wilson,Wallingford,(-1.125 51.599),2010,2015,Conservative Party
54,Rob Wilson,Wallingford,(-1.125 51.599),2005,2010,Conservative Party
56,Rob Wilson,Wallingford,(-1.125 51.599),2015,2017,Conservative Party
58,Gavin Williamson,Scarborough,(-0.4 54.2825),2019,2024,Conservative Party
56,Gavin Williamson,Scarborough,(-0.4 54.2825),2015,2017,Conservative Party
57,Gavin Williamson,Scarborough,(-0.4 54.2825),2017,2019,Conservative Party
55,Gavin Williamson,Scarborough,(-0.4 54.2825),2010,2015,Conservative Party
58,Charles Walker,Oxfordshire,(-1.28 51.75),2019,2024,Conservative Party
55,Charles Walker,Oxfordshire,(-1.28 51.75),2010,2015,Conservative Party
56,Charles Walker,Oxfordshire,(-1.28 51.75),2015,2017,Conservative Party
54,Charles Walker,Oxfordshire,(-1.28 51.75),2005,2010,Conservative Party
57,Charles Walker,Oxfordshire,(-1.28 51.75),2017,2019,Conservative Party
51,Henry Bellingham,Cheltenham,(-2.078427777 51.896519444),1992,1997,Conservative Party
50,Henry Bellingham,Cheltenham,(-2.078427777 51.896519444),1987,1992,Conservative Party
49,Henry Bellingham,Cheltenham,(-2.078427777 51.896519444),1983,1987,Conservative Party
55,Henry Bellingham,Cheltenham,(-2.078427777 51.896519444),2010,2015,Conservative Party
54,Henry Bellingham,Cheltenham,(-2.078427777 51.896519444),2005,2010,Conservative Party
56,Henry Bellingham,Cheltenham,(-2.078427777 51.896519444),2015,2017,Conservative Party
53,Henry Bellingham,Cheltenham,(-2.078427777 51.896519444),2001,2005,Conservative Party
57,Henry Bellingham,Cheltenham,(-2.078427777 51.896519444),2017,2019,Conservative Party
55,"Richard Benyon, Baron Benyon",Reading,(-0.973055555 51.454166666),2010,2015,Conservative Party
56,"Richard Benyon, Baron Benyon",Reading,(-0.973055555 51.454166666),2015,2017,Conservative Party
54,"Richard Benyon, Baron Benyon",Reading,(-0.973055555 51.454166666),2005,2010,Conservative Party
57,"Richard Benyon, Baron Benyon",Reading,(-0.973055555 51.454166666),2019,2019,Conservative Party
57,"Richard Benyon, Baron Benyon",Reading,(-0.973055555 51.454166666),2019,2019,Conservative Party
57,"Richard Benyon, Baron Benyon",Reading,(-0.973055555 51.454166666),2017,2019,Conservative Party
58,Robin Walker,West Midlands,(-2.29 52.47),2019,2024,Conservative Party
57,Robin Walker,West Midlands,(-2.29 52.47),2017,2019,Conservative Party
56,Robin Walker,West Midlands,(-2.29 52.47),2015,2017,Conservative Party
55,Robin Walker,West Midlands,(-2.29 52.47),2010,2015,Conservative Party
52,John Bercow,Edgware,(-0.2729 51.6185),1997,2001,Conservative Party
56,John Bercow,Edgware,(-0.2729 51.6185),2015,2017,Conservative Party
54,John Bercow,Edgware,(-0.2729 51.6185),2005,2009,Conservative Party
54,John Bercow,Edgware,(-0.2729 51.6185),2009,2010,Conservative Party
57,John Bercow,Edgware,(-0.2729 51.6185),2017,2019,Conservative Party
53,John Bercow,Edgware,(-0.2729 51.6185),2001,2005,Conservative Party
55,John Bercow,Edgware,(-0.2729 51.6185),2010,2015,Conservative Party
58,Ben Wallace,Farnborough,(0.0741 51.3591),2019,2024,Conservative Party
55,Ben Wallace,Farnborough,(0.0741 51.3591),2010,2015,Conservative Party
56,Ben Wallace,Farnborough,(0.0741 51.3591),2015,2017,Conservative Party
54,Ben Wallace,Farnborough,(0.0741 51.3591),2005,2010,Conservative Party
57,Ben Wallace,Farnborough,(0.0741 51.3591),2017,2019,Conservative Party
58,Paul Beresford,Levin,(175.283333333 -40.625),2019,2024,Conservative Party
58,Paul Beresford,Levin,(175.275 -40.63333),2019,2024,Conservative Party
51,Paul Beresford,Levin,(175.283333333 -40.625),1992,1997,Conservative Party
51,Paul Beresford,Levin,(175.275 -40.63333),1992,1997,Conservative Party
56,Paul Beresford,Levin,(175.283333333 -40.625),2015,2017,Conservative Party
56,Paul Beresford,Levin,(175.275 -40.63333),2015,2017,Conservative Party
52,Paul Beresford,Levin,(175.283333333 -40.625),1997,2001,Conservative Party
52,Paul Beresford,Levin,(175.275 -40.63333),1997,2001,Conservative Party
55,Paul Beresford,Levin,(175.283333333 -40.625),2010,2015,Conservative Party
53,Paul Beresford,Levin,(175.283333333 -40.625),2001,2005,Conservative Party
55,Paul Beresford,Levin,(175.275 -40.63333),2010,2015,Conservative Party
53,Paul Beresford,Levin,(175.275 -40.63333),2001,2005,Conservative Party
54,Paul Beresford,Levin,(175.283333333 -40.625),2005,2010,Conservative Party
